slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,steal_percentage,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes,height,weight,per game FG,per game FGA,per game 3P,per game 3PA,per game 2P,per game 2PA,per game FT,per game FTA,per game ORB,per game DRB,per game TRB,per game AST,per game STL,per game BLK,per game TOV,per game PF,per game PTS,At Rim FG,At Rim FGA,At Rim FG%,At Rim Ast'd,At Rim %Ast'd,3 to <10 ft FG,3 to <10 ft FGA,3 to <10 ft FG%,3 to <10 ft Ast'd,3 to <10 ft %Ast'd,10 to <16 ft FG,10 to <16 ft FGA,10 to <16 ft FG%,10 to <16 ft Ast'd,10 to <16 ft %Ast'd,16 ft to <3-pt FG,16 ft to <3-pt FGA,16 ft to <3-pt FG%,16 ft to <3-pt Ast'd,16 ft to <3-pt %Ast'd,3-pt FG,3-pt FGA,3-pt FG%,3-pt Ast'd,3-pt %Ast'd
capelca01,Clint Capela,CENTER,23,HOUSTON ROCKETS,74,74,2034,441,676,0,1,144,257,241,561,68,58,137,103,185,5.7,5.7,3.4,1.0,30.8,4.1,0.38,2.4,13.5,6.2,24.5,1.4,0.001,22.2,0.65,11.5,19.4,2.8,10.2,0.242,82,240,6.0,9.1,0.0,0.0,6.0,9.1,1.9,3.5,3.3,7.6,10.8,0.9,0.8,1.9,1.4,2.5,13.9,475,654,.726,396,.834,56,153,.366,41,.732,5,11,.455,3,.600,0,1,.000,0,,0,1,.000,0,
carrode01,DeMarre Carroll,POWER FORWARD,31,BROOKLYN NETS,73,73,2180,325,785,145,391,188,246,105,374,147,59,30,103,165,10.5,1.0,0.2,-0.4,18.4,1.8,0.313,0.5,5.1,2.3,14.3,1.3,0.498,11.7,0.55,10.3,19.8,1.2,4.1,0.091,78,215,4.5,10.8,2.0,5.4,2.5,5.4,2.6,3.4,1.4,5.1,6.6,2.0,0.8,0.4,1.4,2.3,13.5,100,164,.610,45,.450,50,138,.362,25,.500,18,52,.346,8,.444,12,40,.300,5,.417,145,391,.371,135,.931
cartevi01,Vince Carter,SMALL FORWARD,41,SACRAMENTO KINGS,58,5,1026,114,283,57,165,28,37,18,130,69,42,26,36,96,9.7,2.4,-1.2,0.7,15.1,0.9,0.131,-1.9,1.9,0.3,10.8,2.1,0.583,8.2,0.523,10.7,14.7,0.2,1.2,0.055999999999999994,78,220,2.0,4.9,1.0,2.8,1.0,2.0,0.5,0.6,0.3,2.2,2.6,1.2,0.7,0.4,0.6,1.7,5.4,28,48,.583,17,.607,8,26,.308,1,.125,7,12,.583,1,.143,14,32,.438,8,.571,57,165,.345,56,.982
caulewi01,Willie Cauley-Stein,CENTER,24,SACRAMENTO KINGS,73,58,2044,388,773,3,12,153,247,131,379,172,77,67,109,185,13.7,3.1,-0.1,0.3,22.0,2.2,0.32,-0.4,7.0,1.7,17.6,1.9,0.016,14.2,0.529,11.0,21.8,1.0,3.9,0.092,84,240,5.3,10.6,0.0,0.2,5.3,10.4,2.1,3.4,1.8,5.2,7.0,2.4,1.1,0.9,1.5,2.5,12.8,240,355,.676,176,.733,79,233,.339,35,.443,17,59,.288,8,.471,49,113,.434,42,.857,3,12,.250,3,1.000
chalmma01,Mario Chalmers,POINT GUARD,31,MEMPHIS GRIZZLIES,66,10,1421,168,443,53,191,118,138,13,144,197,79,14,117,179,21.5,0.9,-3.2,0.5,12.0,1.3,0.312,-3.7,1.0,-0.6,10.4,2.8,0.431,6.4,0.503,18.8,19.6,-0.4,0.6,0.021,74,190,2.5,6.7,0.8,2.9,1.7,3.8,1.8,2.1,0.2,2.2,2.4,3.0,1.2,0.2,1.8,2.7,7.7,58,107,.542,16,.276,21,63,.333,6,.286,19,47,.404,5,.263,17,35,.486,5,.294,53,191,.277,44,.830
chandty01,Tyson Chandler,CENTER,35,PHOENIX SUNS,46,46,1151,121,187,0,0,58,93,134,284,53,16,27,59,106,6.6,1.9,-1.4,-0.6,26.8,0.8,0.49700000000000005,-0.8,12.2,1.9,14.2,0.7,0.0,19.4,0.6579999999999999,20.6,10.6,0.2,2.7,0.111,84,240,2.6,4.1,0.0,0.0,2.6,4.1,1.3,2.0,2.9,6.2,9.1,1.2,0.3,0.6,1.3,2.3,6.5,117,174,.672,78,.667,2,10,.200,1,.500,1,1,1.000,1,1.000,1,2,.500,1,1.000,,,,,
chandwi01,Wilson Chandler,SMALL FORWARD,30,DENVER NUGGETS,74,71,2346,281,631,88,246,88,114,102,296,159,43,39,92,156,9.4,1.4,-2.1,-1.1,14.1,1.2,0.18100000000000002,-1.0,4.9,2.1,10.9,0.9,0.39,9.6,0.542,11.9,14.3,-0.1,3.3,0.067,80,235,3.8,8.5,1.2,3.3,2.6,5.2,1.2,1.5,1.4,4.0,5.4,2.1,0.6,0.5,1.2,2.1,10.0,117,175,.669,66,.564,52,133,.391,19,.365,10,40,.250,5,.500,14,38,.368,4,.286,88,246,.358,83,.943
chrisma01,Marquese Chriss,POWER FORWARD,20,PHOENIX SUNS,72,49,1527,202,477,56,190,96,158,76,319,83,51,70,107,205,8.1,3.7,-2.8,0.4,22.7,1.5,0.331,-3.2,5.2,-0.8,11.1,1.6,0.39799999999999996,13.8,0.509,16.4,18.1,-0.3,0.7,0.023,81,240,2.8,6.6,0.8,2.6,2.0,4.0,1.3,2.2,1.1,4.4,5.5,1.2,0.7,1.0,1.5,2.8,7.7,110,177,.621,76,.691,15,54,.278,6,.400,11,29,.379,9,.818,10,27,.370,10,1.000,56,190,.295,56,1.000
clarkia01,Ian Clark,SHOOTING GUARD,26,NEW ORLEANS PELICANS,74,2,1455,222,495,62,195,45,59,10,117,110,33,10,57,120,10.4,0.5,-3.5,-0.8,8.4,0.8,0.11900000000000001,-2.7,0.8,0.3,9.4,1.1,0.39399999999999996,4.7,0.529,9.9,17.2,-0.6,1.1,0.037000000000000005,75,175,3.0,6.7,0.8,2.6,2.2,4.1,0.6,0.8,0.1,1.6,1.7,1.5,0.4,0.1,0.8,1.6,7.4,56,80,.700,40,.714,58,123,.472,27,.466,33,64,.516,13,.394,31,71,.437,16,.516,72,223,.323,59,.819
clarkjo01,Jordan Clarkson,SHOOTING GUARD,25,LOS ANGELES LAKERS,53,2,1256,299,667,68,210,105,132,44,115,173,39,3,95,63,22.9,0.2,0.8,-1.1,9.7,1.0,0.198,1.9,3.8,1.1,16.9,1.5,0.315,6.7,0.532,11.6,27.7,0.9,2.1,0.08,76,194,5.6,12.6,1.3,4.0,4.4,8.6,2.0,2.5,0.8,2.2,3.0,3.3,0.7,0.1,1.8,1.2,14.5,165,256,.645,49,.297,58,156,.372,14,.241,60,148,.405,17,.283,61,153,.399,17,.279,123,364,.338,96,.780
