,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24
Kyle Korver 2016,-1.235,-4.347,5.639,1.384,-2.082,2.470,0.485,0.208,-1.916,-0.179,-1.074,-1.173,0.573,-0.674,1.120,-0.745,-0.247,1.049,0.006,0.576,0.419,1.250,0.303,0.127
Kosta Koufos 2016,-0.434,8.148,-0.158,0.110,-1.149,-2.232,-4.456,1.207,0.493,1.485,-0.268,2.579,1.384,-0.701,-0.368,-0.814,1.820,1.297,-0.476,1.017,-1.823,-1.214,0.945,0.639
Jeremy Lamb 2016,-1.720,-0.451,0.371,0.472,0.971,0.704,-0.235,0.269,0.975,-0.277,0.708,0.552,0.725,0.936,-1.304,1.198,0.152,-0.741,0.828,0.007,1.294,-0.524,0.501,-0.458
Carl Landry 2016,-2.133,2.763,-0.123,3.469,4.945,0.511,1.873,-1.302,0.223,-1.831,-1.253,-1.088,-0.574,1.006,0.570,-0.797,1.157,-0.256,1.040,0.023,-0.877,-0.768,-0.465,1.578
Shane Larkin 2016,-1.751,-2.565,-4.148,-1.947,-1.729,1.981,-1.442,-0.687,0.332,-0.224,-1.028,-0.699,0.461,0.002,0.098,1.056,0.846,0.448,-0.641,-0.906,0.800,-0.842,0.861,0.562
Joffrey Lauvergne 2016,-2.406,3.734,0.284,2.189,1.122,-1.384,-0.657,-0.113,-0.233,-2.197,-0.741,-0.836,-0.021,-0.178,-0.685,1.265,0.716,-0.513,-0.269,-0.121,0.248,-0.035,0.098,0.001
Zach LaVine 2016,2.010,-4.288,-0.650,0.129,-1.886,-1.225,0.446,-2.580,-0.232,-0.237,-0.481,-1.291,1.806,-0.238,-0.000,1.106,1.126,-1.125,1.018,0.397,-0.259,-0.482,0.089,-0.174
Ty Lawson 2016,-5.182,-3.173,-4.355,-0.682,-0.661,0.354,-0.456,-0.522,-0.620,-0.106,0.559,-0.392,0.166,0.462,0.380,-0.825,0.438,0.292,-0.425,-0.390,0.822,0.172,0.168,0.303
Courtney Lee 2016,-1.960,-2.336,0.236,2.817,0.495,1.458,0.002,-0.627,1.262,0.023,-0.573,0.377,0.322,-0.844,0.147,-1.193,0.215,-0.034,-0.788,-0.791,0.962,0.837,-0.208,-0.084
Alex Len 2016,1.220,5.929,-1.681,1.544,-4.203,-1.527,2.113,-0.652,-1.449,-0.067,0.251,-0.975,-1.525,0.049,-0.184,0.814,0.145,-0.362,0.010,-0.496,-0.089,-0.482,0.171,0.337
Kawhi Leonard 2016,12.093,-1.448,2.621,0.483,3.146,4.547,-0.355,0.500,2.821,1.363,1.237,2.223,-0.746,1.119,-0.196,0.469,0.014,-1.027,0.003,0.372,-0.425,1.039,-0.227,-0.187
Meyers Leonard 2016,-2.587,-0.063,2.963,2.863,-0.512,-0.826,0.205,2.397,-2.449,-0.497,-0.645,-1.843,-1.283,0.794,-0.438,0.817,1.263,-1.213,-0.819,-0.416,0.527,0.037,-0.624,-2.172
Jon Leuer 2016,-0.911,2.274,0.828,1.122,0.442,0.455,0.442,0.717,0.122,-0.731,0.410,-0.468,-0.981,0.756,0.937,1.307,0.350,-0.606,0.851,0.219,-0.293,-0.221,0.296,0.844
Damian Lillard 2016,11.159,-8.202,0.092,-1.760,1.912,-2.753,0.371,-1.419,-2.574,0.554,-0.259,-0.137,0.870,-0.092,-1.414,0.886,-0.345,1.084,-0.562,-0.736,-1.048,-0.260,-0.615,0.041
Jeremy Lin 2016,1.386,-2.135,-1.570,-1.456,-0.869,-0.527,-0.108,-1.463,-0.683,0.878,1.474,-0.848,-0.263,-0.722,-0.742,-0.475,0.586,0.160,0.591,-0.358,0.859,-0.249,0.464,-0.418
Shaun Livingston 2016,-0.514,0.750,-3.012,2.513,1.157,4.251,-4.505,0.036,0.631,2.925,0.677,-0.648,-1.999,0.676,2.459,-0.172,-1.875,-1.499,-0.783,-1.431,-0.071,-0.584,-0.005,-0.589
Brook Lopez 2016,11.196,5.907,-1.965,5.353,-1.137,-1.416,-1.413,1.162,1.718,1.242,0.757,-1.059,-0.708,-0.644,-1.218,-1.890,-0.713,0.672,-0.260,-0.745,-0.962,-0.594,-0.198,-0.169
Robin Lopez 2016,3.983,8.751,-0.302,1.037,-1.234,-2.070,-3.862,1.598,-1.732,-0.101,0.609,0.078,1.785,-0.404,-2.272,-1.072,-0.661,0.790,-1.055,0.138,-0.663,-0.312,-1.174,0.662
Kevin Love 2016,7.736,-0.667,4.561,0.221,-0.426,-1.378,0.396,2.571,-1.974,-1.869,1.452,2.013,-1.979,-0.227,-1.347,0.974,0.511,-0.038,-0.861,0.018,0.381,1.297,1.205,0.175
Kyle Lowry 2016,11.516,-7.479,0.897,-5.166,0.804,1.384,-0.040,-0.110,-0.717,0.694,-0.781,1.254,-0.908,-0.817,-1.371,-0.670,0.340,0.078,0.282,0.777,-0.602,-0.020,0.389,0.617
Trey Lyles 2016,-3.121,0.790,0.593,1.915,-0.890,0.002,-0.539,-0.159,-0.410,-0.502,0.996,-0.012,-1.240,0.960,-0.759,1.778,0.458,-0.431,-0.013,0.251,-0.062,0.830,-0.300,0.055
Shelvin Mack 2016,-1.891,-2.145,-4.027,-1.024,1.219,-1.406,-0.243,3.028,0.781,-0.561,-0.849,-1.197,1.303,-0.377,1.292,0.085,0.692,-0.209,-0.642,1.030,-0.268,0.580,0.640,-0.643
Ian Mahinmi 2016,2.872,7.965,0.632,-2.607,-0.653,1.008,-0.176,-0.598,-0.509,0.052,-0.934,0.054,0.369,-2.435,-0.083,-0.830,-0.389,-0.631,-0.418,0.474,0.461,-0.011,-0.622,-1.025
Boban Marjanović 2016,-1.544,7.762,0.501,-0.017,7.553,0.640,-1.516,-0.295,-1.825,0.567,-0.657,1.355,-1.029,-0.967,-1.117,1.826,0.686,-1.576,1.349,0.225,-0.610,0.494,-0.287,1.101
Kevin Martin 2016,-3.831,-2.097,-1.563,2.440,1.770,-1.967,1.549,-1.317,0.098,0.399,0.602,0.215,-1.251,-1.165,0.464,-1.596,0.179,0.274,-0.632,-0.410,0.183,-0.532,0.108,0.336
Wesley Matthews 2016,0.322,-6.269,3.689,-0.067,-2.297,-0.700,-0.236,0.342,-1.180,0.804,-0.354,1.576,-0.212,-0.125,-0.767,-1.175,-0.579,-0.888,0.243,0.104,0.229,1.055,-0.586,0.155
O.J. Mayo 2016,-5.017,-3.295,-1.512,-0.328,-2.405,0.248,2.565,1.686,-0.134,-0.047,-1.684,-0.600,-0.684,-0.054,-0.339,-1.148,-1.298,-0.207,-0.161,-0.436,-0.552,-0.290,0.163,-0.830
Luc Mbah a Moute 2016,-6.072,2.032,0.533,-0.705,-1.560,0.943,-0.223,-1.947,1.028,-1.120,1.266,0.619,0.094,-3.032,-0.169,-0.049,-0.524,-1.203,-1.343,-1.503,0.823,1.378,-1.542,0.142
CJ McCollum 2016,8.455,-7.598,-0.836,2.600,-1.471,-0.351,-1.412,-0.022,-0.804,1.246,-0.862,1.084,1.190,0.766,-0.461,0.353,0.183,-0.794,0.402,-1.221,-1.042,1.226,-0.226,0.093
T.J. McConnell 2016,-1.437,-2.305,-5.102,-0.875,-1.365,3.363,-3.126,2.026,-0.197,0.017,-0.474,-0.119,-0.905,1.501,0.322,1.784,0.087,-0.627,0.011,-0.609,0.452,-0.243,0.348,0.610
Doug McDermott 2016,-2.734,-1.952,2.906,3.067,-0.488,-1.969,-1.553,-1.813,-0.122,-0.175,-0.220,-0.562,-0.270,0.507,0.009,0.328,-0.078,0.457,-0.103,-0.547,-0.365,0.304,-0.209,-0.574
Ben McLemore 2016,-3.864,-1.744,0.221,-0.172,-2.318,-0.679,0.132,-1.300,0.800,0.617,-1.675,-1.562,-0.390,-0.013,0.830,0.080,-0.067,0.737,0.013,0.697,-0.366,0.316,0.982,0.315
Josh McRoberts 2016,-6.425,1.142,-1.319,0.346,0.722,0.867,0.436,1.228,-0.064,-0.744,0.495,0.019,-1.151,-1.645,-0.558,0.885,0.089,0.267,-0.568,0.255,-0.420,-0.316,-1.257,-0.396
Khris Middleton 2016,7.213,-5.224,-0.352,1.959,-1.615,1.565,-0.044,-0.675,0.090,1.811,-1.448,0.345,-1.328,-0.271,0.814,0.047,0.481,-1.342,-0.577,-0.236,-0.671,0.129,-0.429,0.446
C.J. Miles 2016,-1.113,-3.956,3.361,-0.274,0.268,-0.615,0.559,0.808,-0.032,0.891,-0.322,0.645,0.226,-0.003,-1.192,-0.564,0.206,-0.091,1.012,-0.446,0.566,-0.015,0.035,-0.552
Patty Mills 2016,-1.745,-5.198,1.722,-0.610,0.545,2.500,-0.240,-1.462,-0.239,-1.154,0.453,0.491,1.777,0.774,-0.312,0.845,0.301,0.455,1.063,0.587,-0.442,-0.388,0.944,-0.385
Paul Millsap 2016,11.809,3.399,1.806,-1.682,-2.272,2.820,0.276,1.730,1.796,1.342,0.699,0.221,-1.534,0.278,-0.423,-1.038,-1.374,1.249,0.331,-1.179,0.676,-0.390,0.129,0.019
Nikola Mirotić 2016,0.484,-1.381,4.032,-1.967,-0.258,-0.655,2.841,0.644,-0.405,0.331,0.879,0.218,-0.546,-0.869,-0.299,1.093,-0.144,-0.711,-0.040,-0.246,-0.569,-0.161,0.161,0.097
Greg Monroe 2016,7.947,7.296,-1.088,0.038,-0.130,-1.898,-2.109,-0.287,0.544,-1.920,-0.897,1.666,-0.078,0.107,-1.243,0.096,-1.158,1.247,0.151,0.637,0.277,-0.082,-0.773,-0.506
E'Twaun Moore 2016,-3.768,-1.396,-0.983,1.236,0.014,0.503,-2.316,0.735,1.451,-0.192,0.288,-0.533,0.727,-0.047,-0.159,-0.469,0.563,-0.748,-0.249,0.410,0.247,0.393,0.405,0.277
Marcus Morris 2016,4.132,-2.838,0.378,2.302,-1.664,0.743,-0.027,-0.933,-1.130,1.122,1.057,0.367,-1.070,0.410,1.397,0.063,-0.590,-1.630,-0.579,0.508,-0.019,0.676,-0.435,0.447
Markieff Morris 2016,-0.822,0.372,-3.019,3.336,-1.620,-0.857,2.760,2.035,0.711,0.815,-1.192,-0.645,-0.763,-0.119,1.670,0.453,-0.155,0.268,0.302,-0.993,-0.033,0.127,-0.107,-0.824
Anthony Morrow 2016,-6.081,-3.496,2.094,2.065,1.653,-0.034,-1.552,-0.502,0.389,-0.419,1.139,0.998,-0.211,-0.015,-1.224,-0.704,-0.535,-0.345,0.095,-0.273,0.864,-0.358,-1.083,-0.450
Donatas Motiejūnas 2016,-5.369,1.961,-1.250,1.620,0.488,-2.213,-0.986,2.070,0.834,-0.559,-1.387,-0.613,-1.666,-2.043,-0.714,0.832,0.056,-0.078,-1.028,-0.397,-0.162,0.379,0.003,0.538
Timofey Mozgov 2016,-1.617,6.483,1.465,0.690,-0.051,0.482,-0.454,-1.134,-0.483,-0.278,-0.078,-1.555,-0.113,-1.067,0.458,0.415,-0.903,-0.547,0.383,-1.217,-0.171,0.436,-1.302,0.206
Emmanuel Mudiay 2016,1.001,-4.045,-5.180,0.067,-4.362,-2.184,1.538,0.168,-0.731,1.308,-0.096,-1.249,0.651,0.232,0.195,1.611,-0.449,0.679,-0.394,-1.071,0.709,0.133,-0.660,0.598
Shabazz Muhammad 2016,-0.636,0.959,-0.058,2.108,0.843,-3.706,-2.166,-2.979,1.008,-0.790,0.429,-0.058,-1.163,-0.314,-0.424,0.696,-0.086,0.237,0.456,-0.267,0.139,-0.570,-0.020,0.607
Mike Muscala 2016,-5.827,3.054,1.213,1.398,2.329,1.780,-0.994,0.017,0.133,0.199,0.037,-1.552,-0.284,-0.854,-1.412,1.409,1.371,-0.146,-0.616,-1.029,1.191,-0.062,-1.424,-0.235
Larry Nance Jr. 2016,-3.175,3.929,-0.238,1.178,-0.581,1.861,0.214,-0.973,1.048,-1.183,-1.708,0.490,0.187,0.145,0.032,0.917,0.709,-1.018,-0.399,0.105,0.652,-0.502,-0.569,0.337
Shabazz Napier 2016,-7.602,-3.804,-3.533,-0.733,-0.071,-0.157,0.080,-0.225,-0.911,-0.724,1.180,1.406,-0.196,1.569,-2.785,-0.102,0.176,1.621,-1.158,-1.862,1.453,0.308,0.705,-1.024
Gary Neal 2016,-4.118,-2.163,-1.271,3.402,2.736,0.064,-0.694,0.222,0.436,-0.876,-0.125,0.508,0.606,-0.153,-0.119,-1.032,0.936,-0.715,-0.190,0.538,1.163,-0.757,-0.090,0.149
Jameer Nelson 2016,-4.860,-3.475,-3.089,-0.946,-0.398,-0.310,0.922,1.391,-1.705,-1.146,-0.140,-0.649,1.517,0.593,0.835,-1.512,-0.550,0.302,-0.163,0.984,-0.549,-1.296,0.558,-0.461
Raul Neto 2016,-3.785,-3.579,-2.196,-1.834,-1.649,1.278,-1.622,-0.444,0.133,-0.155,0.571,-0.440,-0.193,0.386,-0.342,0.452,-0.622,-1.272,0.453,0.025,-0.025,0.876,0.606,0.135
Andrew Nicholson 2016,-4.052,1.305,0.593,1.074,2.290,-1.839,-1.310,1.450,0.005,-0.513,2.046,-0.346,-0.354,0.048,-0.192,0.915,0.877,-1.137,1.272,1.003,0.155,0.482,-0.273,0.647
Joakim Noah 2016,-3.663,7.023,-2.415,-3.008,0.472,1.070,3.741,3.025,-3.423,-0.383,-2.308,0.835,-0.407,0.740,-0.667,0.930,-1.155,2.833,-0.828,-1.279,-0.965,1.242,0.383,-0.395
Nerlens Noel 2016,3.759,5.509,-1.205,-2.554,-3.377,1.518,2.262,0.482,3.185,0.571,-0.352,-1.759,-0.550,0.005,0.719,0.309,0.219,-0.599,0.402,-0.696,0.376,0.034,0.104,1.767
Dirk Nowitzki 2016,7.787,-2.616,2.352,8.236,0.738,3.273,2.171,0.029,-1.916,1.821,1.828,1.182,-0.918,0.262,2.506,-0.587,-0.713,-1.078,0.421,-0.452,-1.112,0.231,0.433,0.203
Jusuf Nurkić 2016,-2.547,7.121,-2.572,-0.362,0.226,-1.664,2.986,2.639,-0.239,2.314,-2.452,0.737,0.130,-1.899,-2.967,1.363,-0.343,1.020,0.345,-0.480,-0.471,0.241,-0.389,0.170
Johnny O'Bryant 2016,-6.976,1.732,-1.201,3.231,-2.000,-0.222,1.374,-1.497,0.420,-2.326,0.680,-0.677,-1.677,0.122,-1.409,1.051,1.704,-0.354,-1.167,-2.029,-1.031,0.263,-1.048,1.995
Kyle O'Quinn 2016,-3.091,4.217,-1.110,1.675,1.220,2.425,0.963,0.893,-1.623,0.449,0.366,-0.618,0.306,0.839,-1.300,1.797,0.685,0.274,1.217,-0.322,-0.051,-0.152,0.016,0.462
Jahlil Okafor 2016,3.897,4.733,-3.524,3.317,-0.776,-4.508,-0.620,1.573,1.811,1.327,0.587,-1.038,0.281,0.714,0.815,0.121,0.080,-0.755,0.365,-0.242,-0.426,-0.114,-1.369,0.272
Victor Oladipo 2016,5.087,-3.068,-0.765,-1.064,-1.561,1.741,1.987,-0.789,0.836,0.512,-0.335,0.099,0.859,0.344,-0.698,0.255,0.042,-0.414,0.578,0.004,0.800,0.493,-0.146,-0.042
Kelly Olynyk 2016,-0.333,0.284,2.385,-1.470,0.331,0.140,1.310,-0.396,0.783,-0.130,0.305,-0.158,-0.350,0.309,-0.179,0.716,0.141,-0.350,1.364,-0.161,-1.874,-0.377,-0.781,-0.461
Kelly Oubre Jr. 2016,-7.021,0.665,-0.450,-0.998,-0.984,-1.389,-0.443,-1.006,0.811,1.267,0.545,0.279,-0.881,2.396,0.939,0.228,2.392,1.340,0.688,0.527,-0.354,0.996,0.273,-0.624
Zaza Pachulia 2016,2.944,7.452,-0.680,-1.090,-0.655,0.297,0.551,-1.132,-3.085,-1.197,-1.049,2.371,-2.729,-0.391,0.985,-0.313,-0.373,-0.334,-1.525,-0.175,0.456,-0.682,-0.186,0.244
Jabari Parker 2016,3.748,2.719,-1.387,3.404,-2.138,-0.781,-0.050,-3.305,1.977,-0.353,-1.436,-0.383,-0.026,0.523,1.308,0.603,-0.735,0.432,-0.743,-0.757,-0.053,0.014,-0.963,-0.335
Tony Parker 2016,2.438,-2.612,-4.129,1.040,0.481,2.594,-1.810,-1.351,-0.276,-1.665,0.866,-0.883,1.041,-0.410,0.273,-0.965,-0.092,0.114,-0.376,-0.252,0.030,0.876,-0.405,0.194
Chandler Parsons 2016,1.190,-1.989,1.525,-0.801,1.226,-0.463,0.429,0.245,0.205,-1.107,0.288,-0.825,0.697,0.139,0.888,0.337,-0.195,-0.607,0.925,1.062,-0.380,1.145,-0.461,0.176
Patrick Patterson 2016,-2.320,-1.353,3.563,0.164,-1.062,0.094,-2.052,2.001,-0.301,-0.781,0.850,0.909,-0.421,-0.006,-1.049,0.879,0.396,-0.427,-0.159,-0.229,0.452,-0.504,-0.582,-0.145
Chris Paul 2016,11.455,-7.054,-3.586,-2.161,3.019,6.196,-1.442,0.585,-1.013,-0.193,-1.028,1.069,-0.024,0.653,-0.512,-0.169,1.030,-0.555,-1.521,0.615,-0.697,-0.810,-0.809,-0.340
Cameron Payne 2016,-5.242,-2.731,-2.787,-0.412,0.699,1.302,-1.503,1.345,1.069,0.436,0.646,1.112,-0.286,1.747,-1.656,0.603,0.190,-0.664,0.370,-0.186,0.424,0.427,0.198,-1.114
Elfrid Payton 2016,1.797,-1.534,-4.924,-1.898,-2.781,0.258,-1.162,-0.343,0.709,-0.551,-0.752,-1.214,0.178,0.542,0.122,0.738,0.376,0.652,-1.067,-0.558,-0.749,-0.323,-0.967,0.918
Kendrick Perkins 2016,-7.398,5.394,-2.382,0.036,0.075,-0.081,-0.886,1.864,-3.120,0.498,-1.681,-0.567,-0.330,-4.451,1.254,1.316,0.535,0.581,-1.485,0.088,0.753,1.673,0.745,-0.276
Paul Pierce 2016,-4.971,-2.657,1.304,1.368,-1.531,0.331,1.046,1.162,-1.994,-0.050,0.962,0.787,-1.395,-0.369,-0.089,-1.744,-1.034,0.724,0.641,-0.960,1.160,0.359,-0.616,-0.713
Mason Plumlee 2016,4.497,7.643,-0.963,-4.226,-1.498,-0.020,-0.413,-1.153,-1.641,0.729,-0.254,-0.260,-0.691,-0.803,-0.400,-0.667,-0.619,0.048,-0.925,0.452,-0.078,0.072,0.429,-0.454
Miles Plumlee 2016,-3.589,6.843,-0.111,-0.805,2.371,-1.128,-2.359,-0.781,-0.812,1.949,-0.763,1.253,2.084,0.822,0.859,0.054,2.167,1.677,0.225,-0.878,0.447,0.751,-1.039,0.474
Otto Porter 2016,1.944,-1.238,3.022,0.707,-1.510,2.554,0.860,-1.091,1.356,-0.650,-1.499,0.734,0.400,0.937,-0.144,0.340,0.185,-0.932,-0.552,0.609,0.457,0.407,0.209,0.377
Bobby Portis 2016,-2.838,3.185,-0.976,2.821,-0.907,-1.194,1.213,-0.383,-0.072,-1.715,0.294,0.942,0.034,0.853,-0.966,2.089,0.716,-0.659,-0.055,-0.447,-0.488,-0.615,-0.560,0.799
Kristaps Porziņģis 2016,5.237,2.376,1.797,2.497,-2.054,-0.117,2.174,1.865,-0.136,2.502,1.731,-0.928,0.221,0.935,-2.077,0.335,-0.396,-0.804,0.097,-0.159,0.043,0.296,-0.453,0.692
Dwight Powell 2016,-2.602,4.596,0.586,0.521,1.398,1.655,1.959,-3.194,0.386,-0.426,-0.579,0.083,-1.072,-0.342,-0.021,1.267,0.513,0.311,0.585,0.284,-0.893,-0.717,0.169,0.444
Norman Powell 2016,-5.190,-1.157,-0.563,-0.860,1.346,0.552,0.714,-0.502,1.207,-0.254,0.804,0.710,-0.212,1.320,-0.835,0.415,-0.092,-0.095,-0.039,-0.048,-0.536,0.655,0.690,0.192
Ronnie Price 2016,-4.976,-4.168,-0.973,-3.498,-1.653,2.242,-0.049,1.170,0.213,0.374,0.035,0.198,0.131,0.813,0.266,-2.258,0.253,-0.729,1.515,0.387,-0.632,-0.905,0.533,-0.589
Pablo Prigioni 2016,-6.666,-2.491,-2.028,-3.132,0.248,3.795,-0.961,2.155,-0.510,-1.952,0.868,0.668,-0.276,-1.082,0.052,-0.607,-2.233,-1.505,1.363,-0.562,0.777,-0.889,0.553,-0.826
Tayshaun Prince 2016,-6.552,0.162,-1.139,4.055,-1.138,3.282,-0.390,-1.826,-0.523,-1.465,0.413,0.017,0.805,-1.125,0.959,-0.634,-0.108,0.626,0.414,2.527,0.843,0.236,-1.160,1.819
Julius Randle 2016,3.592,5.014,-2.105,0.241,-4.686,-3.006,1.422,-0.084,-0.926,-2.345,0.682,0.527,-1.609,0.606,0.493,1.168,1.044,-0.996,0.065,0.441,0.534,-0.650,0.159,0.066
Zach Randolph 2016,5.160,3.294,-2.727,4.454,-0.571,-1.540,-0.583,-0.036,-0.290,-3.766,-0.098,1.623,-0.250,-0.160,-0.403,-1.429,0.800,0.552,0.836,0.191,-0.787,0.219,0.068,0.445
J.J. Redick 2016,2.760,-6.262,5.022,4.530,1.680,1.214,0.782,-2.893,-1.364,-1.247,-1.451,0.106,1.910,-2.069,-1.269,-0.987,2.005,0.253,-1.066,-0.468,-0.775,0.752,1.277,0.120
Josh Richardson 2016,-4.491,-1.799,0.548,-0.675,0.581,0.952,0.626,-0.434,1.256,0.551,0.973,-0.521,0.110,0.707,-1.050,-0.473,-0.708,-1.489,-0.031,0.278,-1.243,0.109,0.329,-0.352
Austin Rivers 2016,-2.853,-2.304,-1.063,-0.281,-0.680,-1.109,-1.658,-0.803,1.279,0.463,0.436,0.343,0.425,-0.115,-0.495,-0.286,0.496,-1.180,0.625,0.508,0.399,-0.140,0.257,-0.702
Andre Roberson 2016,-3.721,1.746,2.232,-3.722,-1.100,0.336,-0.456,-1.593,2.027,0.305,2.374,1.202,1.998,-0.401,1.456,-0.486,0.852,-1.040,-1.822,-0.804,-0.850,0.552,-0.531,-0.248
Glenn Robinson III 2016,-7.033,0.344,-0.899,0.424,1.839,0.578,0.051,-1.065,1.982,-0.338,1.779,0.719,0.458,-1.019,-0.679,1.222,0.921,-0.382,-0.784,-0.090,0.795,1.019,-0.659,-0.117
Thomas Robinson 2016,-3.708,6.376,-2.293,-1.091,-1.116,-0.982,1.263,-0.620,-1.835,0.775,-0.358,2.557,-0.242,0.049,0.199,2.613,-0.623,0.105,0.833,-1.053,-0.318,-1.011,0.396,1.300
Rajon Rondo 2016,5.100,-3.679,-5.576,-5.393,-2.789,2.689,-0.755,1.967,-1.347,-3.512,-1.492,-1.738,1.027,-0.436,1.396,1.220,0.626,0.602,-1.198,0.037,-0.564,-0.501,-0.449,1.401
Derrick Rose 2016,2.977,-3.344,-5.754,2.879,-1.587,-2.310,-1.424,0.095,0.354,-0.174,0.344,-0.201,0.740,0.643,0.720,0.145,-0.425,1.380,0.200,-1.036,0.677,1.006,-0.937,0.568
Terrence Ross 2016,-1.600,-4.045,3.466,2.118,0.277,0.865,-0.864,-0.102,0.503,1.121,0.023,0.888,0.634,1.065,-0.086,0.606,0.507,-0.494,0.450,0.152,0.272,-0.305,0.266,-0.233
Ricky Rubio 2016,3.712,-4.544,-3.967,-5.059,-1.743,4.804,2.458,-1.159,-1.429,-1.239,-0.844,-0.350,-1.761,-0.913,-0.990,0.036,1.304,-0.667,-2.194,0.233,-0.433,-0.966,0.188,1.197
Brandon Rush 2016,-6.159,-0.674,3.532,0.653,0.716,0.679,0.007,-0.454,-0.440,-1.143,0.921,-0.266,-0.335,-0.255,-0.141,0.618,-1.138,1.624,-0.925,-0.581,0.218,-0.128,-0.159,0.285
D'Angelo Russell 2016,1.696,-5.014,-2.075,-0.006,-2.779,-1.528,-0.838,0.376,-0.106,1.212,-0.663,0.174,0.161,0.061,0.360,1.936,0.829,-0.747,0.172,-0.583,1.239,-0.230,-0.110,0.684
JaKarr Sampson 2016,-6.070,2.505,-2.139,-0.139,-1.020,-2.940,0.350,-1.096,0.076,1.207,0.348,-1.271,-0.862,-0.895,0.595,0.447,0.075,0.600,-0.319,0.368,-0.356,0.907,0.888,0.193
Dennis Schröder 2016,0.903,-4.340,-3.548,-2.054,-1.159,0.161,0.067,-1.246,-0.524,-0.691,-0.158,-0.816,0.755,0.682,-0.814,1.947,0.282,0.821,1.395,-1.225,0.589,-0.401,0.724,-0.793
Luis Scola 2016,-0.469,1.165,1.618,1.283,-1.560,-0.210,-0.733,0.982,-0.171,-1.805,0.347,0.763,-0.225,-1.041,0.077,-1.120,0.184,-0.399,1.083,-0.064,-0.630,0.288,-0.787,0.737
Mike Scott 2016,-3.404,0.776,2.874,1.019,1.400,0.148,-2.435,-0.054,0.600,0.147,-0.065,-0.273,-0.985,0.744,0.654,0.400,1.456,1.781,-0.078,-0.494,-0.410,-0.356,-0.547,-0.544
Thabo Sefolosha 2016,-1.752,0.938,1.909,-1.553,-0.087,3.760,-0.224,-0.267,0.916,-0.854,-0.059,-0.148,-0.748,-0.209,0.332,-0.105,0.185,0.303,0.816,-0.223,2.121,0.705,-0.028,-0.353
Kevin Séraphin 2016,-5.772,4.166,-3.444,3.032,-0.027,0.200,-0.342,2.614,-1.950,2.736,0.436,0.977,0.450,-1.157,-0.779,2.003,-1.005,0.863,0.166,0.116,0.098,-0.080,-1.657,-0.155
Ramon Sessions 2016,0.082,-1.086,-2.480,-0.910,1.618,-0.467,-2.213,-2.230,0.040,-0.599,0.798,-1.118,-1.918,-0.502,-0.719,-0.217,-1.056,0.350,0.790,-0.457,1.102,0.676,0.986,0.151
Iman Shumpert 2016,-4.678,-1.102,0.517,-1.127,-1.812,1.686,2.399,0.358,0.515,-0.167,0.085,0.266,-0.387,0.031,-0.021,0.450,-1.327,0.068,-0.239,0.430,-0.641,-0.386,1.201,-0.454
Jonathon Simmons 2016,-4.872,0.536,-1.236,-1.224,1.130,-0.088,-0.600,-1.565,1.045,0.074,0.370,-1.454,-0.844,-0.654,0.379,-0.440,0.359,-0.688,0.487,-0.448,-0.612,0.843,0.837,-0.449
Kyle Singler 2016,-6.794,0.789,1.068,0.743,-1.116,-0.017,-1.193,-0.111,0.310,0.297,-0.559,0.375,-1.778,0.161,-0.448,-0.562,0.847,1.639,-0.542,-0.006,-0.533,-0.309,-0.578,-0.369
Donald Sloan 2016,-3.491,-2.201,-2.934,-1.729,0.892,-0.323,-0.224,-1.085,-1.078,-1.795,1.673,-0.903,0.447,0.218,0.511,0.074,-0.107,-0.450,-0.668,-0.468,-0.001,0.634,-0.137,0.576
Marcus Smart 2016,-1.023,-1.637,-0.576,-3.198,-2.334,0.237,1.186,0.539,1.054,0.800,-1.088,1.483,-1.464,0.627,-1.477,-0.521,0.223,-0.337,0.146,0.368,-0.372,-0.628,-0.278,-1.262
Ish Smith 2016,1.798,-3.561,-6.136,-0.073,-1.410,-1.245,0.604,0.925,0.596,-1.047,-0.621,-0.059,1.970,0.475,0.537,0.161,-0.471,1.075,-0.162,-0.470,0.272,-0.195,-0.106,0.831
J.R. Smith 2016,1.010,-6.093,5.739,-0.210,-1.809,0.127,-1.039,1.127,-0.396,0.656,-0.879,1.840,1.211,-0.316,0.018,-0.915,0.258,-1.167,0.667,0.310,-1.014,0.494,-0.352,0.398
Jason Smith 2016,-1.693,1.787,-0.829,7.565,-1.406,4.816,3.472,-1.954,-1.378,-0.182,-0.201,-1.083,2.043,0.035,-1.955,-0.374,2.377,0.839,1.687,-0.017,-0.237,-0.215,-0.113,-0.376
Tony Snell 2016,-6.026,-1.371,0.206,0.727,-1.982,-1.168,-0.025,0.364,-0.893,-0.152,0.777,-0.407,-0.467,2.073,-0.682,-0.484,0.130,1.489,0.238,1.118,0.176,1.963,-0.099,-0.447
Marreese Speights 2016,-2.183,2.059,-0.490,4.203,-0.141,0.152,2.287,-1.247,-1.271,-1.360,0.631,0.035,0.078,-0.708,-1.857,1.023,1.505,0.550,1.403,-1.815,-0.670,-0.375,-0.034,0.258
