,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24
Michael Carter-Williams 2014,6.695,-1.794,-5.170,-2.869,-3.878,-1.198,0.983,0.987,0.800,0.094,-1.179,-0.497,-0.505,-0.727,-0.616,0.232,0.224,0.100,0.383,0.540,0.753,-0.319,0.019,0.719
Omri Casspi 2014,-2.928,0.562,1.272,-1.135,0.338,-0.794,-1.082,0.246,0.801,-0.138,0.945,0.659,-0.732,-1.092,0.616,1.215,1.376,0.596,-0.332,0.275,-0.188,-0.392,1.043,0.284
Mario Chalmers 2014,1.249,-3.307,-1.109,-5.308,-2.152,1.325,-1.065,0.413,0.338,-0.701,-1.184,-0.701,-0.272,-1.163,-0.294,-0.650,-0.081,-1.384,-0.439,-0.815,-0.822,-0.397,0.335,0.500
Tyson Chandler 2014,0.758,7.886,0.582,-2.414,0.964,-0.103,2.344,-1.303,-2.177,-0.714,-0.620,0.191,0.784,0.450,1.386,-0.870,-2.044,-1.286,-0.012,0.356,0.733,0.668,0.377,0.528
Wilson Chandler 2014,0.641,-2.366,2.517,0.175,-1.309,-2.052,0.978,0.713,-0.299,0.180,-0.275,-0.191,0.440,-0.161,-0.086,-0.824,0.304,-1.368,0.384,0.836,-0.484,-0.171,-0.783,-0.276
Earl Clark 2014,-6.569,-0.405,0.582,1.755,-0.280,-0.328,1.604,1.161,0.237,-0.243,1.217,0.455,0.012,-0.071,-0.651,0.658,0.424,0.399,-0.030,0.063,0.527,0.052,-1.652,-0.356
Norris Cole 2014,-3.427,-3.669,-2.160,-1.871,-3.269,0.825,-0.696,-0.957,-0.283,-0.986,0.359,-0.592,0.546,-0.186,-0.528,0.398,0.163,-0.604,0.661,-1.002,0.500,0.270,0.660,-0.458
Darren Collison 2014,2.234,-3.586,-1.727,-0.795,0.263,2.783,-0.758,-2.507,0.411,0.299,-0.365,-0.442,-0.307,0.784,-0.044,-0.435,-0.270,-0.342,-0.096,-0.479,-0.355,-0.380,0.835,0.227
Nick Collison 2014,-3.136,4.141,0.325,-0.627,0.286,1.911,-1.209,-1.555,-1.970,-1.395,-0.559,-2.080,-0.952,-0.341,0.114,-1.333,1.851,-0.467,1.152,-0.902,0.508,1.039,-0.642,-0.656
Mike Conley 2014,6.650,-5.058,-2.175,-1.716,0.814,1.556,-1.336,-1.171,0.945,-1.171,-0.818,0.585,0.972,-0.144,-1.392,-0.259,0.115,0.447,-0.037,0.839,-0.701,0.420,-0.204,0.351
DeMarcus Cousins 2014,15.089,6.751,-3.210,0.139,-0.976,-0.148,2.743,0.492,0.262,-0.831,-0.655,0.681,-0.822,-1.708,-1.945,-0.289,0.896,0.014,1.050,2.512,0.150,-0.856,1.338,-1.580
Jamal Crawford 2014,4.469,-6.709,0.625,1.676,1.841,-0.918,0.171,-1.402,-1.096,0.585,0.007,0.728,0.554,-1.823,-0.449,-0.745,0.531,0.266,0.574,-0.253,0.039,-0.386,0.799,0.438
Jordan Crawford 2014,0.469,-4.158,-3.814,0.494,2.157,-0.846,-0.641,1.529,-0.203,0.398,-0.245,0.006,0.162,0.811,0.093,-0.518,0.381,-0.108,-0.907,0.615,-0.222,0.595,-0.024,-0.452
Jae Crowder 2014,-4.580,-0.505,1.716,-1.248,0.238,1.833,-0.370,-0.879,1.346,-0.006,0.705,0.319,-0.272,0.389,0.114,0.846,0.523,-0.711,0.894,1.011,0.176,-0.283,-0.175,0.060
Dante Cunningham 2014,-1.365,3.217,-0.754,4.994,-1.663,4.980,1.775,-2.657,-0.996,-0.275,-1.478,1.885,2.933,-0.244,-1.039,0.655,1.163,0.827,0.226,1.696,0.593,-1.572,-0.085,-0.542
Stephen Curry 2014,12.829,-9.498,0.713,-2.813,1.958,2.837,-0.177,0.040,-2.851,-0.412,-1.717,-0.223,1.263,0.291,-1.153,1.317,1.320,0.167,-0.387,0.715,-1.360,0.827,-0.071,-0.393
Samuel Dalembert 2014,0.632,8.642,1.220,-1.310,-0.478,0.689,-0.010,-0.896,-2.682,-0.073,-0.874,-0.168,0.853,-0.431,-0.377,-0.623,-1.570,-1.152,0.460,-1.213,0.840,-0.464,-0.875,0.395
Brandon Davies 2014,-7.477,3.047,-1.999,0.127,-1.256,-0.337,0.751,-1.024,0.372,0.936,-0.761,-0.234,-1.916,-1.522,0.213,1.049,0.848,0.089,-0.518,-0.487,-0.844,0.469,-0.904,0.304
Anthony Davis 2014,12.572,7.459,0.483,2.775,0.700,1.862,2.428,-0.316,2.970,2.640,1.571,-1.076,0.523,1.755,-2.100,-1.330,-0.658,-0.095,-0.952,-0.388,0.106,-1.387,-0.170,0.676
Ed Davis 2014,-2.853,6.198,-0.554,0.903,1.442,-0.113,-1.140,-0.616,-0.898,2.025,-0.790,1.030,0.308,0.940,0.007,1.096,-1.207,0.339,0.139,-0.005,-0.443,-0.502,0.324,0.106
Glen Davis 2014,0.607,2.662,-2.388,5.079,-1.062,0.818,2.916,-0.019,0.939,-1.224,-1.200,0.703,0.004,-0.341,0.604,-0.663,0.451,-0.431,0.302,0.257,-0.733,0.547,-1.036,0.046
Matthew Dellavedova 2014,-5.140,-2.414,-0.192,-0.304,-0.059,0.814,-2.048,0.194,-0.329,-0.559,0.344,-1.306,-0.322,0.094,-0.708,0.606,-0.041,-0.701,-0.944,0.612,-0.394,-0.860,0.632,-0.291
Luol Deng 2014,0.635,-0.594,-1.286,3.007,0.844,-1.083,1.909,-0.687,1.458,-1.540,-0.424,1.004,0.381,-1.131,0.692,-0.298,-0.014,0.324,-0.333,0.564,-0.254,0.915,-0.372,0.171
DeMar DeRozan 2014,11.878,-3.210,-2.933,5.570,-0.372,1.542,1.648,-4.256,0.121,1.222,0.888,0.053,-0.943,-2.232,-0.408,-0.670,1.526,-0.127,-1.103,1.760,-1.022,0.157,0.923,-0.878
Boris Diaw 2014,1.117,1.273,0.524,0.684,-0.309,1.097,-2.767,0.761,0.203,-2.172,0.612,-1.471,0.044,-1.455,0.158,0.117,0.640,0.649,0.883,0.067,-0.873,0.918,-0.731,-0.467
Gorgui Dieng 2014,-2.971,5.472,0.299,0.014,0.719,1.143,1.210,0.881,0.870,-0.436,0.517,-2.050,-2.573,1.496,-0.984,0.880,1.216,-0.040,0.767,-2.092,-1.271,1.443,0.660,2.945
Chris Douglas-Roberts 2014,-5.034,-0.855,1.747,-1.264,1.975,0.011,0.254,-0.655,1.227,-0.281,1.026,-0.194,-0.223,-1.304,-0.171,0.162,-0.546,-0.327,-1.192,-0.503,0.141,-0.567,0.448,0.261
Goran Dragić 2014,8.972,-4.624,-1.821,-2.953,1.775,0.627,-1.089,-2.408,-0.255,0.270,-0.730,-1.166,-0.089,0.278,0.057,-0.956,-0.653,-1.257,-0.021,0.258,-0.972,-0.608,-1.047,0.066
Andre Drummond 2014,8.663,11.466,1.518,-5.575,-2.454,-2.305,0.478,-2.191,0.526,-1.046,0.577,2.642,2.489,3.644,0.875,-1.368,0.457,-1.956,0.027,-0.213,0.997,-1.044,-1.025,-0.474
Jared Dudley 2014,-3.746,-2.104,3.060,2.738,-1.157,1.753,0.099,-1.114,-0.535,-0.818,-1.519,-1.003,-0.078,-0.683,-0.012,-0.391,0.339,0.594,-0.689,0.775,-0.097,-0.045,-0.278,-0.446
Tim Duncan 2014,10.014,7.722,-1.141,3.542,-0.521,1.782,-0.334,1.737,-0.817,-1.006,2.469,0.715,2.027,-2.270,-0.701,-0.720,-1.041,3.282,0.293,0.969,0.652,0.428,1.324,-0.829
Mike Dunleavy 2014,1.985,-2.292,3.734,1.628,-1.660,2.881,1.498,-0.994,-1.576,-1.077,0.357,-0.186,0.666,-1.376,-0.431,-0.492,0.517,1.062,0.001,0.256,-0.133,0.791,-0.251,-0.124
Kevin Durant 2014,22.381,-4.143,1.903,2.399,4.879,1.633,-0.808,-1.504,-0.164,2.683,1.935,0.073,-3.247,-1.180,0.781,1.564,-1.357,0.685,-1.595,0.069,-1.857,0.410,0.642,-2.084
Monta Ellis 2014,8.758,-4.298,-4.545,-0.273,-2.734,0.700,-0.097,-2.489,0.684,-0.252,-0.982,-0.741,0.090,-1.488,0.258,-0.606,0.813,0.593,0.629,-0.071,0.764,0.300,-0.357,0.335
Jeremy Evans 2014,-2.241,5.328,-0.375,1.427,0.664,1.627,-0.263,-1.352,-0.658,0.448,-2.111,1.205,1.429,0.544,-0.374,0.454,0.161,0.073,-0.052,0.279,0.510,-1.806,0.120,0.228
Tyreke Evans 2014,4.204,0.198,-4.666,-3.299,-0.774,-2.096,-0.076,-1.237,1.199,-1.290,0.114,-0.031,-0.113,-0.604,-0.418,0.661,0.389,0.803,1.013,-0.628,0.021,-0.370,-1.065,-0.443
Kenneth Faried 2014,6.623,7.790,-0.578,-0.483,-1.095,-1.779,-2.295,-0.844,0.966,-0.749,-1.255,1.235,0.146,0.031,-0.138,-0.267,-0.893,1.020,-0.495,0.715,0.185,-0.925,0.666,-0.121
Jordan Farmar 2014,-3.268,-4.608,-3.322,-1.570,1.128,-0.535,1.269,1.382,-0.778,-1.250,-0.256,-0.529,1.069,0.589,-0.760,0.232,-0.334,0.230,-0.558,-1.854,-0.162,-0.583,0.594,0.142
Derrick Favors 2014,6.138,7.632,-1.024,0.068,-1.886,-0.602,-0.224,0.174,0.282,2.220,-0.572,0.539,0.046,0.834,0.576,-0.386,-1.243,-0.793,-0.224,0.445,0.266,-1.256,-0.421,-0.333
Raymond Felton 2014,-0.262,-3.416,-2.937,-1.357,-2.052,1.086,0.365,0.200,-0.856,-0.572,-0.867,-0.505,0.906,0.417,-0.303,-1.075,-0.148,0.403,-0.355,-0.022,-0.436,-0.287,-0.548,0.822
Derek Fisher 2014,-4.570,-3.954,1.623,-0.884,-0.763,2.945,-0.169,-0.352,-0.788,-0.663,-0.095,1.610,-1.332,-0.741,-0.938,-2.317,-1.051,0.778,0.901,-0.843,-0.408,-1.047,0.978,-0.596
Evan Fournier 2014,-2.976,-1.948,0.444,-0.559,-1.660,-2.138,-0.664,-0.624,-0.366,0.206,0.254,-0.951,-0.421,-0.214,-0.314,0.704,0.676,-0.799,0.329,-0.027,-0.594,-0.314,0.695,-0.868
Randy Foye 2014,1.817,-5.922,2.394,-1.768,-1.359,-0.526,-0.216,0.002,-2.397,0.193,0.262,-0.392,1.348,-0.715,-0.865,-0.941,0.154,-0.886,0.186,0.297,-0.589,-0.180,-0.467,0.712
Joel Freeland 2014,-5.723,5.225,-1.075,1.682,0.568,0.582,0.526,-0.455,-2.730,-0.445,-1.462,1.131,0.615,-0.537,-0.983,1.338,-0.790,-0.043,-0.740,0.169,-0.546,-0.466,-0.607,-0.097
Channing Frye 2014,1.704,-2.304,5.019,1.050,-2.040,0.829,0.170,1.885,-2.319,0.245,-0.018,-0.058,0.256,0.922,-0.956,-1.258,1.047,-1.346,1.099,0.775,-0.061,0.510,-1.374,0.013
Francisco García 2014,-5.601,-1.970,2.266,-0.834,0.317,0.298,-0.276,1.249,0.367,0.018,1.935,-0.067,1.524,-0.356,-0.112,-1.292,0.249,-0.745,0.382,0.320,-0.109,-1.192,-1.101,-0.876
Kevin Garnett 2014,-1.328,4.374,-2.003,3.917,-1.277,4.001,3.091,1.802,-2.707,-0.581,-1.234,1.714,0.939,-0.908,1.259,0.258,-0.137,1.001,0.908,1.278,0.727,-0.070,0.625,0.028
Diante Garrett 2014,-7.112,-2.167,-3.101,-0.526,-2.257,0.112,-1.846,0.957,0.351,0.378,1.100,0.168,-0.142,-0.151,0.539,0.879,0.944,0.815,-0.326,-0.839,0.302,0.117,0.391,0.128
Marc Gasol 2014,6.686,4.385,-2.117,4.750,0.217,2.905,-0.421,2.528,0.925,2.049,0.575,0.177,-1.098,-1.035,0.836,-0.350,-1.071,0.792,-1.498,0.638,-1.359,-0.493,0.409,-0.282
Pau Gasol 2014,7.093,5.008,-2.610,4.990,-0.149,-0.824,0.399,3.126,0.020,-0.414,1.777,-0.865,0.019,-0.610,0.679,-0.545,-0.296,1.539,-0.077,0.392,-0.067,0.116,0.334,1.044
Rudy Gay 2014,7.123,-0.728,-3.443,1.530,1.224,-1.059,0.052,0.386,1.275,0.895,0.093,-0.121,-0.557,-0.279,0.888,-0.920,0.360,-0.264,0.643,0.425,-0.414,0.711,-0.055,0.098
Alonzo Gee 2014,-6.014,0.988,-0.637,-0.289,-1.112,0.944,0.056,-0.924,0.994,0.536,0.600,0.296,-0.942,-0.665,0.840,0.294,0.692,0.318,-0.251,-0.292,-0.096,0.070,-1.238,0.020
Paul George 2014,12.465,-5.421,1.812,-0.999,-1.082,2.491,1.984,-0.481,0.014,1.563,0.205,2.245,-1.824,-0.360,0.597,1.708,0.388,-0.788,0.568,0.153,0.305,1.290,0.159,-1.054
